condition,n,mean_ms,median_ms,sd_ms,min_ms,max_ms,p95_ms,cv_percent,ci95_lower_ms,ci95_upper_ms,software_success_count,software_success_rate_percent
baseline,90,1694.011322222222,1691.216,10.30109363434513,1677.23,1748.644,1709.8520500000002,0.6080888302937696,1691.853776801795,1696.1688676426488,90,100.0
optimized,90,689.4294,690.376,7.830485726607689,669.414,713.162,698.71825,1.1357922546685257,687.789318934934,691.0694810650659,90,100.0
