condition,session,trial,timestamp,led_latency_ms,buzzer_start_latency_ms,fan_power_latency_ms,fan_level2_latency_ms,total_control_latency_ms,success
optimized,1,1,2026-08-09T11:44:02.983006,0.101,0.742,86.31,671.433,671.433,True
optimized,1,2,2026-08-09T11:44:08.368270,0.163,0.969,108.559,695.784,695.784,True
optimized,1,3,2026-08-09T11:44:13.753146,0.178,1.21,111.208,695.863,695.863,True
optimized,1,4,2026-08-09T11:44:19.143593,0.149,0.856,112.405,699.452,699.452,True
optimized,1,5,2026-08-09T11:44:24.522579,0.155,0.875,105.767,691.609,691.609,True
optimized,1,6,2026-08-09T11:44:29.901961,0.167,0.955,106.816,692.08,692.08,True
optimized,1,7,2026-08-09T11:44:35.281023,0.154,0.861,107.94,693.609,693.609,True
optimized,1,8,2026-08-09T11:44:40.662336,0.159,0.908,104.88,689.449,689.449,True
optimized,1,9,2026-08-09T11:44:46.038367,0.141,0.752,106.036,690.283,690.283,True
optimized,1,10,2026-08-09T11:44:51.425290,0.152,0.83,113.824,698.127,698.127,True
optimized,1,11,2026-08-09T11:44:56.808068,0.156,0.845,113.054,696.71,696.71,True
optimized,1,12,2026-08-09T11:45:02.179552,0.146,0.816,99.306,683.421,683.421,True
optimized,1,13,2026-08-09T11:45:07.555545,0.153,0.898,105.297,688.71,688.71,True
optimized,1,14,2026-08-09T11:45:12.938850,0.182,0.97,109.501,696.702,696.702,True
optimized,1,15,2026-08-09T11:45:18.315977,0.14,0.712,105.104,689.106,689.106,True
optimized,1,16,2026-08-09T11:45:23.698818,0.152,0.827,106.239,692.764,692.764,True
optimized,1,17,2026-08-09T11:45:29.079881,0.162,0.873,108.175,692.777,692.777,True
optimized,1,18,2026-08-09T11:45:34.456807,0.153,1.402,105.891,689.798,689.798,True
optimized,1,19,2026-08-09T11:45:39.829304,0.143,0.77,101.084,686.855,686.855,True
optimized,1,20,2026-08-09T11:45:45.205200,0.142,0.747,104.304,689.807,689.807,True
optimized,1,21,2026-08-09T11:45:50.583557,0.139,0.72,106.7,691.278,691.278,True
optimized,1,22,2026-08-09T11:45:55.963044,0.15,0.868,108.782,693.23,693.23,True
optimized,1,23,2026-08-09T11:46:01.353547,0.148,0.794,104.763,702.976,702.976,True
optimized,1,24,2026-08-09T11:46:06.750972,0.162,0.856,104.618,689.156,689.156,True
optimized,1,25,2026-08-09T11:46:12.121887,0.116,0.608,98.804,683.03,683.03,True
optimized,1,26,2026-08-09T11:46:17.496402,0.137,0.708,100.94,686.395,686.395,True
optimized,1,27,2026-08-09T11:46:22.872600,0.151,0.936,104.013,688.204,688.204,True
optimized,1,28,2026-08-09T11:46:28.250859,0.15,0.824,105.758,692.156,692.156,True
optimized,1,29,2026-08-09T11:46:33.626949,0.152,0.823,103.574,689.772,689.772,True
optimized,1,30,2026-08-09T11:46:39.013965,0.316,1.029,114.415,699.486,699.486,True
