condition,session,trial,timestamp,led_latency_ms,buzzer_start_latency_ms,fan_power_latency_ms,fan_level2_latency_ms,total_control_latency_ms,success
optimized,2,1,2026-08-09T13:19:33.316755,0.098,0.561,86.927,671.51,671.51,True
optimized,2,2,2026-08-09T13:19:38.693591,0.181,1.097,101.903,687.086,687.086,True
optimized,2,3,2026-08-09T13:19:44.077537,0.155,0.916,109.702,694.249,694.249,True
optimized,2,4,2026-08-09T13:19:49.456030,0.151,0.909,103.939,690.289,690.289,True
optimized,2,5,2026-08-09T13:19:54.833365,0.192,1.003,106.391,692.234,692.234,True
optimized,2,6,2026-08-09T13:20:00.212078,0.151,0.889,107.497,692.956,692.956,True
optimized,2,7,2026-08-09T13:20:05.594163,0.173,0.969,107.1,692.675,692.675,True
optimized,2,8,2026-08-09T13:20:10.971909,0.158,0.833,105.628,690.023,690.023,True
optimized,2,9,2026-08-09T13:20:16.351843,0.151,0.84,108.32,692.672,692.672,True
optimized,2,10,2026-08-09T13:20:21.730565,0.163,0.963,107.886,692.032,692.032,True
optimized,2,11,2026-08-09T13:20:27.111490,0.149,0.779,107.503,693.015,693.015,True
optimized,2,12,2026-08-09T13:20:32.486968,0.153,0.918,104.442,688.532,688.532,True
optimized,2,13,2026-08-09T13:20:37.864001,0.178,0.85,104.494,690.928,690.928,True
optimized,2,14,2026-08-09T13:20:43.241016,0.134,0.79,104.004,688.235,688.235,True
optimized,2,15,2026-08-09T13:20:48.621166,0.149,0.821,108.042,691.981,691.981,True
optimized,2,16,2026-08-09T13:20:53.999218,0.147,0.817,104.888,688.435,688.435,True
optimized,2,17,2026-08-09T13:20:59.378523,0.155,0.812,107.69,693.169,693.169,True
optimized,2,18,2026-08-09T13:21:04.756926,0.162,0.852,105.315,691.077,691.077,True
optimized,2,19,2026-08-09T13:21:10.129784,0.151,0.899,102.794,687.362,687.362,True
optimized,2,20,2026-08-09T13:21:15.506555,0.135,0.749,105.362,689.671,689.671,True
optimized,2,21,2026-08-09T13:21:20.885058,0.151,0.805,108.81,693.07,693.07,True
optimized,2,22,2026-08-09T13:21:26.259905,0.149,0.822,103.956,687.524,687.524,True
optimized,2,23,2026-08-09T13:21:31.634266,0.146,0.829,103.107,687.232,687.232,True
optimized,2,24,2026-08-09T13:21:37.013600,0.149,0.82,107.824,692.213,692.213,True
optimized,2,25,2026-08-09T13:21:42.392041,0.146,0.837,104.038,689.902,689.902,True
optimized,2,26,2026-08-09T13:21:47.780689,0.135,0.815,100.26,699.202,699.202,True
optimized,2,27,2026-08-09T13:21:53.159613,0.098,0.655,88.757,674.148,674.148,True
optimized,2,28,2026-08-09T13:21:58.529609,0.09,0.462,85.008,669.414,669.414,True
optimized,2,29,2026-08-09T13:22:03.902137,0.09,0.438,85.708,669.604,669.604,True
optimized,2,30,2026-08-09T13:22:09.280822,0.106,0.449,87.803,671.796,671.796,True
