condition,session,trial,timestamp,led_latency_ms,buzzer_complete_latency_ms,fan_power_latency_ms,fan_level2_latency_ms,total_control_latency_ms,success
baseline,2,1,2026-08-09T13:37:45.330698,0.098,500.411,1107.105,1692.926,1692.926,True
baseline,2,2,2026-08-09T13:37:51.613138,0.156,500.514,1105.983,1693.016,1693.016,True
baseline,2,3,2026-08-09T13:37:57.895334,0.151,500.469,1106.836,1692.242,1692.242,True
baseline,2,4,2026-08-09T13:38:04.189487,0.15,500.474,1104.365,1706.311,1706.311,True
baseline,2,5,2026-08-09T13:38:10.490169,0.148,500.462,1106.22,1693.862,1693.862,True
baseline,2,6,2026-08-09T13:38:16.763967,0.148,500.461,1100.432,1685.321,1685.321,True
baseline,2,7,2026-08-09T13:38:23.038163,0.157,500.47,1102.122,1686.377,1686.377,True
baseline,2,8,2026-08-09T13:38:29.315386,0.152,500.467,1102.65,1689.411,1689.411,True
baseline,2,9,2026-08-09T13:38:35.586284,0.135,500.427,1099.982,1685.806,1685.806,True
baseline,2,10,2026-08-09T13:38:41.859224,0.148,500.419,1099.935,1686.506,1686.506,True
baseline,2,11,2026-08-09T13:38:48.138933,0.151,500.467,1102.085,1689.469,1689.469,True
baseline,2,12,2026-08-09T13:38:54.413348,0.149,500.458,1103.664,1688.758,1688.758,True
baseline,2,13,2026-08-09T13:39:00.689976,0.147,500.449,1104.421,1690.615,1690.615,True
baseline,2,14,2026-08-09T13:39:06.963623,0.146,500.445,1102.383,1687.822,1687.822,True
baseline,2,15,2026-08-09T13:39:13.236104,0.157,500.456,1100.341,1685.091,1685.091,True
baseline,2,16,2026-08-09T13:39:19.515785,0.147,500.441,1105.882,1693.23,1693.23,True
baseline,2,17,2026-08-09T13:39:25.799613,0.145,500.508,1102.543,1688.664,1688.664,True
baseline,2,18,2026-08-09T13:39:32.071634,0.147,500.521,1101.641,1686.664,1686.664,True
baseline,2,19,2026-08-09T13:39:38.364309,0.155,500.46,1102.106,1705.102,1705.102,True
baseline,2,20,2026-08-09T13:39:44.637658,0.166,500.466,1100.337,1686.392,1686.392,True
baseline,2,21,2026-08-09T13:39:50.912742,0.144,500.447,1102.945,1688.487,1688.487,True
baseline,2,22,2026-08-09T13:39:57.191976,0.146,500.465,1103.791,1690.544,1690.544,True
baseline,2,23,2026-08-09T13:40:03.467671,0.145,500.442,1101.924,1688.98,1688.98,True
baseline,2,24,2026-08-09T13:40:09.750225,0.133,500.427,1108.896,1696.25,1696.25,True
baseline,2,25,2026-08-09T13:40:16.024444,0.146,500.473,1103.644,1688.431,1688.431,True
baseline,2,26,2026-08-09T13:40:22.302701,0.148,500.449,1104.807,1690.355,1690.355,True
baseline,2,27,2026-08-09T13:40:28.579861,0.144,500.484,1105.083,1691.029,1691.029,True
baseline,2,28,2026-08-09T13:40:34.860411,0.134,500.439,1104.04,1690.811,1690.811,True
baseline,2,29,2026-08-09T13:40:41.157082,0.146,500.443,1104.24,1710.073,1710.073,True
baseline,2,30,2026-08-09T13:40:47.451520,0.087,500.285,1090.267,1691.155,1691.155,True
