backlog,n,success_count,azure_first_mean_s,azure_first_sd_s,azure_first_cv_percent,thingsboard_first_mean_s,thingsboard_first_sd_s,thingsboard_first_cv_percent,azure_recovery_mean_s,azure_recovery_sd_s,azure_recovery_cv_percent,thingsboard_recovery_mean_s,thingsboard_recovery_sd_s,thingsboard_recovery_cv_percent,azure_throughput_mean_rps,azure_throughput_sd_rps,azure_throughput_cv_percent,thingsboard_throughput_mean_rps,thingsboard_throughput_sd_rps,thingsboard_throughput_cv_percent
10,3,3,20.590666666666667,2.6203122587457646,12.725728123158216,21.596666666666668,2.6200821233948637,12.131882034549452,40.07333333333333,3.260575767151153,8.136522460034486,29.788666666666668,2.716368593054583,9.118798848738614,0.2506,0.019761325866449356,7.885604894832146,0.3375,0.02976726389845058,8.819930043985357
30,3,3,10.995333333333333,3.625925582983376,32.97695006654377,13.275333333333334,5.245489141475115,39.513050329998855,65.928,15.565999229089025,23.610604339717607,52.027,12.626472230991519,24.26907611623103,0.47086666666666666,0.10088728033470493,21.42587009798349,0.5979333333333334,0.13239117543602874,22.141460938124997
60,3,3,6.5729999999999995,2.2185950509275005,33.75315762859426,7.579666666666666,2.2106925008542757,29.16609130816143,85.36,2.4970929097652714,2.9253665765759975,77.446,2.422544736429031,3.1280437161751813,0.7032999999999999,0.020906458332295316,2.9726231099524125,0.7752333333333333,0.024687918772819492,3.1845791081591983
